Title,Artist,Release date,BPM,Energy,Danceability,Loudness,Valence,Length,Followers,ID,Key,Noise,Tempo,Weeks until appearance,Seconds
Galway Girl,Ed Sheeran,3/18/2017,100,88,62,-3,78,2:51,62175717,0afhq8XCExXpqazXczTSve,9,-3.374,99.943,1,171
Bad and Boujee (feat. Lil Uzi Vert),Migos,8/31/2016,127,67,93,-5,18,5:43,10270971,4Km5HrUvYTaSUfiSGPJeQR,11,-5.313,127.076,16,343
iSpy (feat. Lil Yachty),KYLE,12/2/2016,75,65,75,-7,67,4:13,865501,2EEeOnHehOozLq4aS0n6SL,7,-6.745,75.016,7,253
Fake Love,Drake,10/29/2016,134,48,93,-9,61,3:31,46039011,343YBumqHu19cGoGARUTsd,9,-9.35,134.007,8,211
Starboy,The Weeknd,11/25/2016,186,59,68,-7,49,3:50,19922535,5aAx2yezTd8zXrkmtKl66Z,7,-7.028,186.054,4,230
Black Beatles,Rae Sremmurd,8/12/2016,146,63,79,-6,36,4:52,5753934,6fujklziTHa8uoM5OQSfIo,0,-6.163,145.926,18,292
Closer,The Chainsmokers,7/29/2016,95,52,75,-6,66,4:05,15879626,7BKLCZ1jbUBVqRi2FVlTVw,8,-5.599,95.01,20,245
Caroline,Aminé,3/9/2016,120,34,94,-10,71,3:30,1204833,5hTpBe8h35rJ67eAWHQsJx,5,-10.179,120.041,39,210
Bad Things (with Camila Cabello),Machine Gun Kelly,10/14/2016,138,69,70,-5,31,3:59,1997314,1PSBzsahR2AKwLJgx8ehBj,2,-4.757,137.853,10,239
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,12/9/2016,118,44,73,-8,10,4:06,11213599,3NdDpSvN911VPGivFlV5d0,0,-8.374,117.973,3,246
Deja Vu,J. Cole,12/9/2016,174,42,66,-11,18,4:25,10667391,6I6NX6tjGsxFAsIfGzY9lJ,9,-11.378,174.063,3,265
Broccoli,DRAM,4/6/2016,146,53,89,-7,71,3:45,767181,7yyRTcZmCiyzzJlNzGC9Ol,8,-7.39,145.99,35,225
Bounce Back,Big Sean,12/9/2016,82,57,78,-6,27,3:42,7243601,0SGkqnVQo9KPytSri1H6cF,1,-5.628,81.502,4,222
I Feel It Coming,The Weeknd,11/25/2016,93,82,77,-6,59,4:29,19922535,5GXAXm5YOmYT0kL5jHvYBt,0,-5.946,92.99,6,269
Shape of You,Ed Sheeran,1/6/2017,96,65,83,-3,93,3:54,62175717,7qiZfU4dY1lWllzX7mPBI3,1,-3.183,95.977,1,234
Castle on the Hill,Ed Sheeran,1/5/2017,135,83,46,-5,47,4:21,62175717,6PCUP3dWmTjcTtXY02oFdT,2,-4.868,135.007,1,261
Paris,The Chainsmokers,1/13/2017,100,64,65,-7,25,3:42,15879626,72jbDTw1piOOj770jWNeaG,2,-6.428,99.99,1,222
T-Shirt,Migos,1/27/2017,139,69,87,-4,49,4:02,10270971,7KOlJ92bu51cltsD9KU5I7,10,-3.744,139.023,1,242
No Favors,Big Sean,2/3/2017,58,78,48,-5,34,5:26,7243601,1MksGqIztTT6M9R1ErKVs8,11,-5.334,57.967,1,326
Moves,Big Sean,2/3/2017,76,52,81,-5,38,2:23,7243601,0Fv5N0cHBsl4bzCbollCAS,2,-5.287,75.524,1,143
Chained To The Rhythm,Katy Perry,2/10/2017,190,80,45,-5,47,3:58,15161661,6520aj0B4FSKGVuKNsOCOi,0,-5.363,189.798,1,238
