Week ending,Position,Title,Artist,Features,Streams,URL,Release Date
12302016,1,Fake Love,Drake,N/A,8618267,343YBumqHu19cGoGARUTsd,
12302016,2,Bad and Boujee (feat. Lil Uzi Vert),Migos,Lil Uzi Vert,7946032,4Km5HrUvYTaSUfiSGPJeQR,
12302016,3,Starboy,The Weeknd,Daft Punk,7738517,5aAx2yezTd8zXrkmtKl66Z,
12302016,4,Black Beatles,Rae Sremmurd,Gucci Mane,6209336,6fujklziTHa8uoM5OQSfIo,
12302016,5,Closer,The Chainsmokers,N/A,5813157,7BKLCZ1jbUBVqRi2FVlTVw,
12302016,6,Caroline,Amine,N/A,4865290,5hTpBe8h35rJ67eAWHQsJx,
12302016,7,Bad Things (with Camila Cabello),Machine Gun Kelly,Camila Cabello,4701860,1PSBzsahR2AKwLJgx8ehBj,
12302016,8,"I Don't Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Taylor Swift,4512436,3NdDpSvN911VPGivFlV5d0,
12302016,9,Deja Vu,J. Cole,N/A,4357980,6I6NX6tjGsxFAsIfGzY9lJ,
12302016,10,Broccoli (feat. Lil Yachty),DRAM,Lil Yachty,4320878,7yyRTcZmCiyzzJlNzGC9Ol,
1062017,1,Bad and Boujee (feat. Lil Uzi Vert),Migos,Lil Uzi Vert,9212016,4Km5HrUvYTaSUfiSGPJeQR,
1062017,2,Fake Love,Drake,N/A,8402709,343YBumqHu19cGoGARUTsd,
1062017,3,Starboy,The Weeknd,Daft Punk,7634586,5aAx2yezTd8zXrkmtKl66Z,
1062017,4,Closer,The Chainsmokers,N/A,6384465,7BKLCZ1jbUBVqRi2FVlTVw,
1062017,5,Black Beatles,Rae Sremmurd,Gucci Mane,5745384,6fujklziTHa8uoM5OQSfIo,
1062017,6,Caroline,Amine,N/A,4992851,5GFDrUTLGJix84sNhjCG0g,
1062017,7,"I Don't Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,Taylor Swift,4874178,3NdDpSvN911VPGivFlV5d0,
